Truck_ID,Vehicle_No,Vehicle_Type,Supervisor,Mode,Customer_Name,Ownership,Purchase_Date,EMI_Monthly,Insurance_Monthly,Road_Tax_Monthly,Tyre_Cost_per_KM,Maintenance_Cost_per_KM,,,,,,,,,,,,,,,
154,KA59 6006,MXL,DEVI,Line,Britannia,,,"52,580",,,,,,,,,,,,,,,,,,,
155,KA59 6007,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
156,KA59 6008,MXL,DEVI,Line,Britannia,,,"52,580.00",,,,,,,,,,,,,,,,,,,
157,KA59 6009,MXL,DEVI,Line,Britannia,,,"52,580.00",,,,,,,,,,,,,,,,,,,
158,KA59 6373,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
159,KA59 6380,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
160,KA59 6381,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
161,KA59 6382,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
162,KA59 6383,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
163,KA59 6390,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
164,KA59 7394,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
165,KA59 7395,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
166,KA59 7396,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
167,KA59 7397,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
168,KA59 7398,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
169,KA59 7399,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
170,KA59 7400,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
171,KA59 7401,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
172,KA59 7402,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
173,KA59 7403,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
174,KA59 7404,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
175,KA59 7405,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
176,KA59 7406,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
177,KA59 7407,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
178,KA59 7408,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
179,KA59 8122,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
180,KA59 8123,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
181,KA59 8258,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
182,KA59 8259,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
183,KA59 8260,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
184,KA59 9072,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
185,KA59 9064,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
186,KA59 9073,MXL,DEVI,Line,Britannia,,,,,,,,,,,,,,,,,,,,,,
187,KA51AA2803,MXL,NANDINI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
188,KA51AA2804,MXL,NANDINI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
189,KA51AA2805,MXL,NANDINI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
190,KA51AA2806,MXL,NANDINI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
191,KA51B1138,MXL,NANDINI,Dedicated,Britannia,,,,,,,,,,,,,,,,,,,,,,
